use_sim_time,sim_length,graph,algo_name,init_bots,init_locations,random_string,avg_idle,done,max_idle,priority_nodes,time_periods,coefficients,depth,overshoot_avg,overshoot_max
True,20000,grid_5_5,tpbp_alt1,1,20,tpbp_alt1_grid_5_5_1,239.721037948103,False,880,0 20 21 6,80.0 80.0 80.0 80.0,1 10 0 0,5,0.7454375,0.7611
True,20000,grid_5_5,tpbp_alt1,4,0 19 2 24,tpbp_alt1_grid_5_5_10,144.226584670766,False,912,24 19 0 2,80.0 80.0 80.0 80.0,1 10 0 0,5,0.5725125,0.5981
True,20000,grid_5_5,tpbp_alt1,4,8 0 23 17,tpbp_alt1_grid_5_5_11,92.4625628718564,False,422,21 0 17 23 8,40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.65119,0.8132
True,20000,grid_5_5,tpbp_alt1,4,14 3 8 23,tpbp_alt1_grid_5_5_12,85.141152,False,539,14 8 3 23 10 9,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.609058333333333,0.653
True,20000,grid_5_5,tpbp_alt1,1,24,tpbp_alt1_grid_5_5_13,230.94394519726,False,1149,8 22 15 24,60.0 60.0 60.0 60.0,1 10 0 0,5,0.811,0.8322
True,20000,grid_5_5,tpbp_alt1,1,15,tpbp_alt1_grid_5_5_14,260.095365231738,False,1415,15 14 13 4 19,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.78319,0.84145
True,20000,grid_5_5,tpbp_alt1,1,16,tpbp_alt1_grid_5_5_15,281.629525810324,False,1458,20 14 13 15 16 22,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.793966666666667,0.8349
True,20000,grid_5_5,tpbp_alt1,2,24 7,tpbp_alt1_grid_5_5_16,242.736520826041,False,1341,13 5 7 24,60.0 60.0 60.0 60.0,1 10 0 0,5,0.7352375,0.7698
True,20000,grid_5_5,tpbp_alt1,2,1 9,tpbp_alt1_grid_5_5_17,239.683886777355,False,902,8 9 22 1 6,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.74838,0.8201
True,20000,grid_5_5,tpbp_alt1,2,7 21,tpbp_alt1_grid_5_5_18,146.512626,False,901,21 7 14 11 2 9,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.765133333333333,0.79775
True,20000,grid_5_5,tpbp_alt1,3,2 8 21,tpbp_alt1_grid_5_5_19,185.353298994849,False,623,8 2 13 21,60.0 60.0 60.0 60.0,1 10 0 0,5,0.6752875,0.70965
True,20000,grid_5_5,tpbp_alt1,1,24,tpbp_alt1_grid_5_5_2,225.591959185715,False,1828,7 4 11 24 18,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.81787,0.8197
True,20000,grid_5_5,tpbp_alt1,3,20 16 3,tpbp_alt1_grid_5_5_20,172.150680931907,False,1018,0 16 3 20 15,80.0 80.0 80.0 80.0 80.0,1 10 0 0,5,0.58172,0.62115
True,20000,grid_5_5,tpbp_alt1,3,12 18 4,tpbp_alt1_grid_5_5_21,150.074499724986,False,1243,21 18 20 12 4 24,80.0 80.0 80.0 80.0 80.0 80.0,1 10 0 0,5,0.6006,0.6277
True,20000,grid_5_5,tpbp_alt1,4,16 0 14 12,tpbp_alt1_grid_5_5_22,83.2599069767442,False,443,0 14 12 16,60.0 60.0 60.0 60.0,1 10 0 0,5,0.428025,0.592
True,20000,grid_5_5,tpbp_alt1,4,22 8 15 3,tpbp_alt1_grid_5_5_23,146.743052610522,False,847,22 8 14 15 3,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.62776,0.6565
True,20000,grid_5_5,tpbp_alt1,4,17 0 1 12,tpbp_alt1_grid_5_5_24,134.405881411859,False,780,17 21 1 0 12 20,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.560066666666667,0.6048
True,20000,grid_5_5,tpbp_alt1,1,18,tpbp_alt1_grid_5_5_25,253.198947789558,False,1449,7 2 18 11,60.0 60.0 60.0 60.0,1 10 0 0,5,0.75825,0.7611
True,20000,grid_5_5,tpbp_alt1,1,3,tpbp_alt1_grid_5_5_26,252.326240624062,False,1049,16 8 20 18 3,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.78017,0.8169
True,20000,grid_5_5,tpbp_alt1,1,2,tpbp_alt1_grid_5_5_27,241.291742697079,False,1109,23 15 7 20 2 5,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.8071,0.82125
True,20000,grid_5_5,tpbp_alt1,2,5 22,tpbp_alt1_grid_5_5_28,163.224380780961,False,977,5 22 3 21,60.0 60.0 60.0 60.0,1 10 0 0,5,0.65135,0.69675
True,20000,grid_5_5,tpbp_alt1,2,24 16,tpbp_alt1_grid_5_5_29,151.901596920154,False,727,16 5 24 8 21,40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.77266,0.81595
True,20000,grid_5_5,tpbp_alt1,1,8,tpbp_alt1_grid_5_5_3,241.492013406033,False,1054,8 15 18 0 9 6,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.885383333333333,0.88885
True,20000,grid_5_5,tpbp_alt1,2,5 17,tpbp_alt1_grid_5_5_30,148.096604981494,False,964,17 10 3 18 5 20,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.778441666666667,0.83275
True,20000,grid_5_5,tpbp_alt1,3,20 1 9,tpbp_alt1_grid_5_5_31,103.825402729864,False,554,20 19 1 9,60.0 60.0 60.0 60.0,1 10 0 0,5,0.6096125,0.72945
True,20000,grid_5_5,tpbp_alt1,3,16 19 0,tpbp_alt1_grid_5_5_32,106.176206051513,False,604,16 19 0 12 8,40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.71374,0.7821
True,20000,grid_5_5,tpbp_alt1,3,9 10 12,tpbp_alt1_grid_5_5_33,201.817132286771,False,847,0 18 3 10 12 9,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.732025,0.7469
True,20000,grid_5_5,tpbp_alt1,4,7 23 22 10,tpbp_alt1_grid_5_5_34,144.081944291644,False,1167,7 22 10 23,60.0 60.0 60.0 60.0,1 10 0 0,5,0.5891375,0.6118
True,20000,grid_5_5,tpbp_alt1,4,21 17 2 5,tpbp_alt1_grid_5_5_35,120.606103220644,False,752,21 17 2 1 5,60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.5389,0.5982
True,20000,grid_5_5,tpbp_alt1,4,21 7 5 12,tpbp_alt1_grid_5_5_36,142.453408681736,False,825,20 5 12 0 7 21,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.640883333333333,0.7017
True,20000,grid_5_5,tpbp_alt1,2,15 9,tpbp_alt1_grid_5_5_4,225.826686,False,811,15 16 7 9,60.0 60.0 60.0 60.0,1 10 0 0,5,0.734125,0.7602
True,20000,grid_5_5,tpbp_alt1,2,8 3,tpbp_alt1_grid_5_5_5,226.96899310069,False,1277,16 11 10 3 8,80.0 80.0 80.0 80.0 80.0,1 10 0 0,5,0.63434,0.67465
True,20000,grid_5_5,tpbp_alt1,2,11 10,tpbp_alt1_grid_5_5_6,157.990655065507,False,1272,8 11 10 7 22 18,40.0 40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.758958333333333,0.78175
True,20000,grid_5_5,tpbp_alt1,3,7 21 17,tpbp_alt1_grid_5_5_7,161.014364,False,1227,17 0 21 7,60.0 60.0 60.0 60.0,1 10 0 0,5,0.6591125,0.6953
True,20000,grid_5_5,tpbp_alt1,3,24 6 3,tpbp_alt1_grid_5_5_8,111.029085271318,False,580,3 24 6 17 16,40.0 40.0 40.0 40.0 40.0,1 10 0 0,5,0.72051,0.82485
True,20000,grid_5_5,tpbp_alt1,3,19 13 23,tpbp_alt1_grid_5_5_9,179.0835,False,1058,21 13 10 7 23 19,60.0 60.0 60.0 60.0 60.0 60.0,1 10 0 0,5,0.669758333333333,0.70325
